,song_id,title,artist_id,duration,year
0,SOMZWCG12A8C13C480,I Didn't Mean To,ARD7TVE1187B99BFB1,218.93179,
0,SOCIWDW12A8C13D406,Soul Deep,ARMJAGH1187FB546F3,148.03546,1969.0
0,SOXVLOJ12AB0189215,Amor De Cabaret,ARKRRTF1187B9984DA,177.47546,
0,SONHOTT12A8C13493C,Something Girls,AR7G5I41187FB4CE6C,233.40363,1982.0
0,SOFSOCN12A8C143F5D,Face the Ashes,ARXR32B1187FB57099,209.60608,2007.0
0,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),ARKFYS91187B98E58F,267.7024,
0,SOMJBYD12A6D4F8557,Keepin It Real (Skit),ARD0S291187B9B7BF5,114.78159,
0,SOHKNRJ12A6701D1F8,Drop of Rain,AR10USD1187B99F3F1,189.57016,
0,SOIAZJW12AB01853F1,Pink World,AR8ZCNI1187B9A069B,269.81832,1984.0
0,SOUDSGM12AC9618304,Insatiable (Instrumental Version),ARNTLGG11E2835DDB9,266.39628,
0,SOQHXMF12AB0182363,Young Boy Blues,ARGSJW91187B9B1D6B,218.77506,
0,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),ARC43071187B990240,245.21098,
0,SOMUYGI12AB0188633,La Culpa,ARL7K851187B99ACD2,226.35057,
0,SORAMLE12AB017C8B0,Auguri Cha Cha,ARHHO3O1187B989413,191.84281,
0,SOBONFF12A6D4F84D8,Tonight Will Be Alright,ARIK43K1187B9AE54C,307.3824,1986.0
0,SOHUOAP12A8AE488E9,Floating,ARD842G1187B997376,491.12771,1987.0
0,SOUQQEA12A8C134B1B,High Tide,ARIG6O41187B988BDD,228.5971,
0,SOILPQQ12AB017E82A,Sohna Nee Sohna Data,AR1ZHYZ1187FB3C717,599.24853,
0,SOXLBJT12A8C140925,Caught In A Dream,ARYKCQI1187FB3B18F,290.29832,2004.0
0,SOZVMJI12AB01808AF,Synthetic Dream,ARNPAGP1241B9C7FD4,165.69424,
0,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,ARQGYP71187FB44566,151.84934,
0,SOBEBDG12A58A76D60,Kassie Jones,ARI3BMM1187FB4255E,220.78649,
0,SOZCTXZ12AB0182364,Setanta matins,AR5KOSW1187FB35FF4,269.58322,
0,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,ARMAC4T1187FB3FA4C,207.77751,2004.0
0,SOBLGCN12AB0183212,James (Hold The Ladder Steady),AR47JEX1187B995D81,124.86485,1985.0
0,SOPSWQW12A6D4F8781,Made Like This (Live),ARGIWFO1187B9B55B7,225.09669,
0,SOZQDIU12A58A7BCF6,Superconfidential,ARNTLGG11E2835DDB9,338.31138,
0,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),ARDNS031187B9924F0,186.48771,2005.0
0,SOBZBAZ12A6D4F8742,Spanish Grease,AROUOZZ1187B9ABE51,168.25424,1997.0
0,SOVYKGO12AB0187199,Crazy Mixed Up World,ARH4Z031187B9A71F2,156.39465,1961.0
0,SOGNCJP12A58A80271,Do You Finally Need A Friend,ARB29H41187B98F0EF,342.56934,1972.0
0,SOLLHMX12AB01846DC,The Emperor Falls,AR1Y2PT1187FB5B9CE,484.62322,
0,SOYTPEP12AB0180E7B,Twist and Shout,ARAJPHH1187FB5566A,164.80608,1964.0
0,SOGXHEG12AB018653E,It Makes No Difference Now,AR0RCMP1187FB3F427,133.32853,1992.0
0,SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),AREBBGV1187FB523D2,173.66159,
0,SOGOSOV12AF72A285E,¿Dónde va Chichi?,ARGUVEV1187B98BA17,313.12934,1997.0
0,SOQLGFP12A58A7800E,OAKtown,ARD7TVE1187B99BFB1,259.44771,
0,SOPVXLX12A8C1402D5,Larger Than Life,AR3JMC51187B9AE49D,236.25098,1999.0
0,SOAOIBZ12AB01815BE,I Hold Your Hand In Mine [Live At Royal Albert Hall],ARPBNLO1187FB3D52F,43.36281,2000.0
0,SOZHPGD12A8C1394FE,Baby Come To Me,AR9AWNF1187B9AB0B4,236.93016,
0,SOSLAVG12A8C13397F,Den Pai Alo,AROGWRA122988FEE45,243.82649,
0,SOTTDKS12AB018D69B,It Wont Be Christmas,ARMBR4Y1187B9990EB,241.47546,
0,SOMVWWT12A58A7AE05,Knocked Out Of The Park,ARQ9BO41187FB5CF1F,183.17016,
0,SOQVMXR12A81C21483,Salt In NYC,ARKULSX1187FB45F84,424.12363,
0,SODUJBS12A8C132150,Wessex Loses a Bride,ARI2JSK1187FB496EF,111.62077,
0,SOBBXLX12A58A79DDA,Erica (2005 Digital Remaster),AREDBBQ1187B98AFF5,138.63138,
0,SOTUKVB12AB0181477,Blessed Assurance,AR7ZKHQ1187B98DD73,270.602,1993.0
0,SOOJPRH12A8C141995,Loaded Like A Gun,ARBGXIG122988F409D,173.19138,
0,SOBCOSW12A8C13D398,Rumba De Barcelona,AR7SMBG1187B9B9066,218.38322,
0,SOQOTLQ12AB01868D0,Clementina Santafè,ARGCY1Y1187B9A4FA5,153.33832,
0,SOBKWDJ12A8C13B2F3,Wild Rose (Back 2 Basics Mix),AR36F9J1187FB406F1,230.71302,
0,SOFNOQK12AB01840FC,Kutt Free (DJ Volume Remix),ARNNKDK1187B98BBD5,407.37914,
0,SOGVQGJ12AB017F169,Ten Tonne,AR62SOJ1187FB47BB5,337.68444,2005.0
0,SOFFKZS12AB017F194,A Higher Place (Album Version),ARBEBBY1187B9B43DB,236.17261,1994.0
0,SOBAYLL12A8C138AF9,Sono andati? Fingevo di dormire,ARDR4AC1187FB371A1,511.16363,
0,SOLEYHO12AB0188A85,Got My Mojo Workin,ARAGB2O1187FB3A161,338.23302,
0,SOPEGZN12AB0181B3D,Get Your Head Stuck On Your Neck,AREDL271187FB40F44,45.66159,
0,SOXILUQ12A58A7C72A,Jenny Take a Ride,ARP6N5A1187B99D1A3,207.43791,2004.0
0,SOTCKKY12AB018A141,Sonnerie lalaleulé hi houuu,ARGSAFR1269FB35070,29.54404,
0,SOSWKAV12AB018FC91,Midnight Star,ARULZCI1241B9C8611,335.51628,
0,SONSKXP12A8C13A2C9,Native Soul,AR0IAWL1187B9A96D0,197.19791,2003.0
0,SOUPIRU12A6D4FA1E1,Der Kleine Dompfaff,ARJIE2Y1187B994AB7,152.92036,
0,SODREIN12A58A7F2E5,A Whiter Shade Of Pale (Live @ Fillmore West),ARLTWXK1187FB5A3F8,326.00771,
0,SONWXQJ12A8C134D94,The Ballad Of Sleeping Beauty,ARNF6401187FB57032,305.162,1994.0
0,SOWQTQZ12A58A7B63E,Streets On Fire (Explicit Album Version),ARPFHN61187FB575F6,279.97995,
0,SOLYIBD12A8C135045,Music is what we love,AR051KA1187B98B2FF,261.51138,
0,SOINLJW12A8C13314C,City Slickers,AR8IEZO1187B99055E,149.86404,2008.0
0,SOGDBUF12A8C140FAA,Intro,AR558FS1187FB45658,75.67628,2003.0
0,SORRZGD12A6310DBC3,Harajuku Girls,ARVBRGZ1187FB4675A,290.55955,2004.0
0,SODAUVL12A8C13D184,Prognosis,ARWB3G61187FB49404,363.85914,2000.0
0,SOFCHDR12AB01866EF,Living Hell,AREVWGE1187B9B890A,282.43546,
